abase	V. lower; humiliate. Defeated, Queen Zenobia was forced to abase herself before the conquering Romans, who made her march in chains before the emperor in the procession celebrating his triumph. abasement, N.
abash	V. embarrass. He was not at all abashed by her open admiration.
abate	V. subside; decrease, lessen. Rather than leaving immediately, they waited for the storm to abate. abate¬ment, N.
abbreviate	V. shorten. Because we were running out of time, the lecturer had to abbreviate her speech.
abdicate	V. renounce; give up. When Edward VIII abdi¬cated the British throne to marry the woman he loved, he surprised the entire world.
abduction	N. kidnapping. The movie Ransom describes the attempts to rescue a multimillionaire's son after the child's abduction by kidnappers. abduct,V.
aberrant	N. abnormal or deviant. Given the aberrant nature of the data, we doubted the validity of the entire experiment. also N.
abet	V.怂恿/aid, usually in doing something wrong; encourage. She was unwilling to abet him in the swindle he had planned.
abeyance	N. suspended action. The deal was held in abeyance until her arrival.
abhor	V. detest; hate. She abhorred all forms of bigotry. abhorrence, N.
abject	ADJ. wretched; lacking pride. On the streets of New York the homeless live in abject poverty, huddling in door¬ways to find shelter from the wind.
abjure	V. renounce upon oath. He abjured his allegiance to the king. abjuration, N.
ablution	"N. washing. His daily ablutions were accompa¬nied by loud noises that he humorously labeled ""Opera in the Bath."""
abnegation	N. repudiation; self-sacrifice. No act of abne¬gation was more pronounced than his refusal of any rewards for his discovery.
abolish	V. cancel; put an end to. The president of the col¬lege refused to abolish the physical education requirement. abolition, N.
abominable	ADJ. detestable; extremely unpleasant; very bad. Mary liked John until she learned he was dating Susan; then she called him an abominable young man, with abominable taste in women.
aboriginal	ADJ., N. being the first of its kind in a region; primitive; native. Her studies of the primitive art forms of the aboriginal Indians were widely reported in the scientific journals. aborigines, N.
abortive	ADJ. unsuccessful; fruitless. Attacked by armed troops, the Chinese students had to abandon their abortive attempt to democratize Beijing peacefully. abort,V.
abrade	V. wear away by friction; scrape; erode. The sharp rocks abraded the skin on her legs, so she put iodine on her abrasions.
abrasive	ADJ. rubbing away; tending to grind down. Just as abrasive cleaning powders can wear away a shiny finish, abrasive remarks can wear away a listener's patience. abrade,V.
abridge	V. condense or shorten. Because the publishers felt the public wanted a shorter version of War and Peace, they proceeded to abridge the novel.
abrogate	ADJ. abolish. He intended to abrogate the decree issued by his predecessor.
abscond<br depart secretly and hide. The teller who absconded with the bonds went uncaptured until someone recognized him from his photograph on &quot;America's Most Wanted.&quot;	
absolute	ADJ. complete; totally unlimited; certain. Although the King of Siam was an absolute monarch, he did not want to behead his unfaithful wife without absolute evidence of her infidelity.
absolve	V. pardon (an offense). The father confessor absolved him of his sins. absolution, N.
absorb	V. assimilate or incorporate; suck or drink up; wholly engage. During the nineteenth century, America absorbed hordes of immigrants, turning them into productive citizens. Can Huggies diapers absorb more liquid than Pampers can? This question does not absorb me; instead, it bores me. absorption, N.
abstain	V. refrain; hold oneself back voluntarily from an action or practice. After considering the effect of alcohol on his athletic performance, he decided to abstain from drink-ing while he trained for the race. abstinence, N.
abstemious	ADJ.&nbsp;&nbsp;sparing in eating and drinking; temper¬ate. Concerned whether her vegetarian son's abstemious diet provided him with sufficient protein, the worried mother pressed food on him.
abstinence	N. restraint from eating or drinking. The doctor recommended total abstinence from salted foods. abstain,V.
abstract	ADJ. theoretical; not concrete; nonrepresenta¬tional. To him, hunger was an abstract concept; he had never missed a meal.
abstruse	ADJ. obscure; profound; difficult to understand. She carries around abstruse works of philosophy, not because she understands them but because she wants her friends to think she does.
abundant	ADJ. plentiful; possessing riches or resources. At his immigration interview, Ivan listed his abundant rea¬sons for coming to America: the hope of religious freedom, the prospect of employment, the promise of a more abun¬dant life.
abusive	ADJ. coarsely insulting; physically harmful. An abusive parent damages a child both mentally and physi¬cally.
abut<br border upon; adjoin. Where our estates abut, we must build a fence.	
abysmal	ADJ. bottomless. His arrogance is exceeded only by his abysmal ignorance.
abyss	N. enormous chasm; vast bottomless pit. Darth Vader seized the evil emperor and hurled him down into the abyss,
academic	ADJ. related to a school; not practical or directly useful. The dean's talk about reforming the college admis¬sions system was only an academic discussion: we knew little, if anything, would change.
accede	V. agree. If I accede to this demand for blackmail, I am afraid that I will be the victim of future demands.
accelerate	V. move faster. In our science class, we learn how falling bodies accelerate.
accentuate	V. emphasize; stress. If you accentuate the pos¬itive and eliminate the negative, you may wind up with an overoptimistic view of the world.
accessible	ADJ. easy to approach; obtainable. We asked our guide whether the ruins were accessible on foot.
accessory	N. additional object; useful but not essential thing. She bought an attractive handbag as an accessory for her dress. alsoADJ.
acclaim	V. applaud; announce with great approval. The NBC sportscasters acclaimed every American victory in the Olympics and decried every American defeat. also N.
acclimate	V. adjust to climate. One of the difficulties of our present air age is the need of travelers to acclimate them¬selves to their new and often strange environments.
acclivity	N. sharp upslope of a hill. The car would not go up the acclivity in high gear.
accolade	"N. award of merit. In Hollywood, an ""Oscar"" is the highest accolade."
accommodate	V. oblige or help someone; adjust or bring into harmony; adapt. Mitch always did everything possible to accommodate his elderly relatives, from driving them to medical appointments to helping them with paperwork. (secondary meaning)
accomplice	N. partner in crime. Because he had provided the criminal with the lethal weapon, he was arrested as an accomplice in the murder.
accord	N. agreement. She was in complete accord with the verdict.
