一<br>イチ、 イツ<br>ひと-、 ひと.つ、 かず、 い、 いっ、 いる、 かつ、 かづ、 てん、 はじめ、 ひ、 ひとつ、 まこと<br>	one
右<br>ウ、 ユウ<br>みぎ、 あき、 すけ<br>	right
雨<br>ウ<br>あめ、 あま-<br>	rain
円<br>エン<br>まる.い、 まる、 まど、 まど.か、 まろ.やか、 つぶら、 のぶ、 まどか、 みつ<br>	circle, yen, round
王<br>オウ<br>おお、 おおきみ、 わ<br>	king, rule, magnate
音<br>オン、 イン<br>おと、 ね、 お、 と<br>	sound, noise
下<br>カ、 ゲ<br>した、 しも、 もと、 さ.げる、 さ.がる、 くだ.る、 くだ.り、 くだ.す、 くだ.さる、 お.ろす、 お.りる、 さか、 しと<br>	below, down, descend, give, low, inferior
火<br>カ<br>ひ、 ほ-<br>	fire
花<br>カ、 ケ<br>はな、 わ<br>	flower
貝<br>バイ<br>かい<br>	shellfish
学<br>ガク<br>まな.ぶ、 たか、 のり<br>	study, learning, science
気<br>キ、 ケ<br>いき<br>	spirit, mind, air, atmosphere, mood
休<br>キュウ<br>やす.む、 やす.まる、 やす.める<br>	rest, day off, retire, sleep
玉<br>ギョク<br>たま、 たま-、 おう、 だん<br>	jewel, ball
金<br>キン、 コン、 ゴン<br>かね、 かな-、 かん、 きむ、 こ、 この、 ん<br>	gold
九<br>キュウ、 ク<br>ここの、 ここの.つ、 いちじく、 いちのく、 この、 ひさし<br>	nine
空<br>クウ<br>そら、 あ.く、 あ.き、 あ.ける、 から、 す.く、 す.かす、 むな.しい、 うつ、 き、 く<br>	empty, sky, void, vacant, vacuum
月<br>ゲツ、 ガツ<br>つき、 おと、 がっ、 す、 ずき、 もり<br>	month, moon
犬<br>ケン<br>いぬ、 いぬ-<br>	dog
見<br>ケン<br>み.る、 み.える、 み.せる<br>	see, hopes, chances, idea, opinion, look at, visible
五<br>ゴ<br>いつ、 いつ.つ、 い、 さ、 さつ、 ち、 ふ、 み、 め<br>	five
口<br>コウ、 ク<br>くち<br>	mouth
校<br>コウ、 キョウ<br>めん<br>	exam, school, printing, proof, correction
左<br>サ、 シャ<br>ひだり、 そ<br>	left
三<br>サン、 ゾウ<br>み、 み.つ、 みっ.つ、 か、 さ、 さい、 さえ、 さぶ、 ざ、 ざえ、 ざぶ、 そう、 ぞ、 ただ、 みつ、 みん、 も、 や<br>	three
山<br>サン、 セン<br>やま、 さ、 やの、 やん<br>	mountain
四<br>シ<br>よ、 よ.つ、 よっ.つ、 よん、 あ、 つ、 よつ<br>	four
子<br>シ、 ス、 ツ<br>こ、 ね、 い、 き、 ぎ、 く、 け、 ねっ<br>	child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac
糸<br>シ<br>いと<br>	thread
字<br>ジ<br>あざ、 あざな<br>	character, letter, word, section of village
耳<br>ジ<br>みみ、 がみ<br>	ear
七<br>シチ<br>なな、 なな.つ、 なの、 し、 しっ、 な、 ひち<br>	seven
車<br>シャ<br>くるま、 くら、 くろま<br>	car
手<br>シュ、 ズ<br>て、 て-、 た-<br>	hand
十<br>ジュウ、 ジッ、 ジュッ<br>とお、 と、 い、 か、 ぎ、 さ、 し、 そ、 そう、 ち、 とう、 ね、 ま、 る、 わ<br>	ten
出<br>シュツ、 スイ<br>で.る、 だ.す、 い.でる、 い.だす、 いず、 いづ、 いで、 じ、 すっ、 すつ、 てん<br>	exit, leave, go out, come out, put out, protrude
女<br>ジョ、 ニョ、 ニョウ<br>おんな、 め、 おな、 た、 つき、 な<br>	woman, female
小<br>ショウ<br>ちい.さい、 こ-、 お-、 さ-、 いさら、 こう、 さざ、 しゃお、 ちいさ<br>	little, small
上<br>ジョウ、 ショウ、 シャン<br>うえ、 うわ-、 かみ、 あ.げる、 あ.がる、 あ.がり、 のぼ.る、 のぼ.り、 のぼ.せる、 のぼ.す、 よ.す、 あおい、 あげ、 い、 か、 かき、 かず、 かん、 こう、 のぼり、 ほつ<br>	above, up
森<br>シン<br>もり、 もと<br>	forest, woods
人<br>ジン、 ニン<br>ひと、 じ、 と、 ね、 ひこ、 ふみ<br>	person
水<br>スイ<br>みず、 みず-、 うず、 ずみ、 つ、 ど、 み、 みさ、 みつ、 みな、 みん<br>	water
正<br>セイ、 ショウ<br>ただ.しい、 ただ.す、 まさ、 まさ.に、 おお、 くに、 ま、 まさし、 ただし<br>	correct, justice, righteous, 10**40
生<br>セイ、 ショウ<br>い.きる、 い.かす、 い.ける、 う.まれる、 うま.れる、 う.まれ、 うまれ、 う.む、 お.う、 は.える、 は.やす、 き、 なま、 なま-、 な.る、 な.す、 む.す、 あさ、 いき、 いく、 いけ、 うぶ、 うまい、 え、 おい、 ぎゅう、 くるみ、 ごせ、 さ、 じょう、 すぎ、 そ、 そう、 ちる、 なば、 にう、 にゅう、 ふ、 み、 もう、 よい、 りゅう<br>	life, genuine, birth
青<br>セイ、 ショウ<br>あお、 あお-、 あお.い、 お<br>	blue, green
石<br>セキ、 シャク、 コク<br>いし、 いさ、 いす、 いわ、 し、 せっく、 と<br>	stone
赤<br>セキ、 シャク<br>あか、 あか-、 あか.い、 あか.らむ、 あか.らめる、 あ、 あこ、 あま<br>	red
先<br>セン<br>さき、 ま.ず、 ぽん<br>	before, ahead, previous, future, precedence
千<br>セン<br>ち、 かず、 ゆき<br>	thousand
川<br>セン<br>かわ、 か、 こ、 さわ、 さんぼんがわ<br>	stream, river
早<br>ソウ、 サッ<br>はや.い、 はや、 はや-、 はや.まる、 はや.める、 さ-、 さか、 さわ、 そ、 わ<br>	early, fast
草<br>ソウ<br>くさ、 くさ-、 そ、 や<br>	grass, weeds, herbs, pasture, write, draft
足<br>ソク<br>あし、 た.りる、 た.る、 た.す、 あ、 あす、 おす、 たらし<br>	leg, foot, be sufficient, counter for pairs of footwear
村<br>ソン<br>むら、 え、 むた、 ら<br>	village, town
大<br>ダイ、 タイ<br>おお-、 おお.きい、 うふ、 お、 おう、 た、 たかし、 とも、 はじめ、 ひろ、 ひろし、 まさ、 まさる、 もと、 わ<br>	large, big
男<br>ダン、 ナン<br>おとこ、 お、 み<br>	male
竹<br>チク<br>たけ、 たか<br>	bamboo
中<br>チュウ<br>なか、 うち、 あた.る、 あたる、 かなえ<br>	in, inside, middle, mean, center
虫<br>チュウ、 キ<br>むし、 む<br>	insect, bug, temper
町<br>チョウ<br>まち<br>	town, village, block, street
天<br>テン<br>あまつ、 あめ、 あま-、 あき、 あも、 た、 たかし、 て、 なま<br>	heavens, sky, imperial
田<br>デン<br>た、 いなか、 おか、 たん、 で、 とう、 や<br>	rice field, rice paddy
土<br>ド、 ト<br>つち、 つ、 つく、 は、 ひじ<br>	soil, earth, ground, Turkey
二<br>ニ、 ジ<br>ふた、 ふた.つ、 ふたた.び、 おと、 つぐ、 にい、 は、 ふ、 ふたつ、 ふだ、 わ<br>	two
日<br>ニチ、 ジツ<br>ひ、 あ、 あき、 いる、 く、 くさ、 こう、 す、 たち、 に、 にっ、 につ、 へ<br>	day, sun, Japan, counter for days
入<br>ニュウ、 ジュ<br>い.る、 い.れる、 はい.る、 いり、 いる、 に、 の、 りり<br>	enter, insert
年<br>ネン<br>とし、 ね<br>	year, counter for years
白<br>ハク、 ビャク<br>しろ、 しら-、 しろ.い、 あき、 か、 はっ<br>	white
八<br>ハチ<br>や、 や.つ、 やっ.つ、 よう、 な、 は、 はっ、 はつ、 やち、 やつ、 はちがしら<br>	eight
百<br>ヒャク、 ビャク<br>もも、 お、 ど、 どう、 なり、 ひゃっ、 ひゅく、 も、 もんど、 ゆ<br>	hundred
文<br>ブン、 モン<br>ふみ、 あや、 かざり、 ふ、 も、 ぶんにょう<br>	sentence, literature, style, art, decoration, figures, plan
本<br>ホン<br>もと、 まと<br>	book, present, main, origin, true, real, counter for long cylindrical things
名<br>メイ、 ミョウ<br>な、 と<br>	name, noted, distinguished, reputation
木<br>ボク、 モク<br>き、 こ-、 ぐ、 も、 もと<br>	tree, wood
目<br>モク、 ボク<br>め、 ま-、 さかん、 さがん、 さっか、 さつか<br>	eye, class, look, insight, experience, care, favor
夕<br>セキ<br>ゆう、 ゆ<br>	evening
立<br>リツ、 リュウ、 リットル<br>た.つ、 た.ち-、 た.てる、 た.て-、 たて-、 たち、 たっ、 たつ、 だて、 つい<br>	stand up, rise, set up, erect
力<br>リョク、 リキ、 リイ<br>ちから、 じから、 つとむ<br>	power, strong, strain, bear up, exert
林<br>リン<br>はやし、 し<br>	grove, forest
六<br>ロク、 リク<br>む、 む.つ、 むっ.つ、 むい、 く、 むつ、 ろっ、 ろつ<br>	six
